player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
132,MIA,29,86,12,21,4,0,2,8,8,17,4,1,0.244,0.305,0.36,0.665
JonBerti,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
133,BAL,24,76,16,14,3,0,2,4,20,30,1,1,0.184,0.361,0.303,0.664
GunnarHenderson,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
134,KC,31,124,18,27,4,2,5,11,7,28,7,1,0.218,0.26,0.403,0.663
BobbyWitt,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
135,WSH,28,95,12,22,3,0,2,13,15,22,2,2,0.232,0.336,0.326,0.662
AlexCall,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
135,MIN,27,100,9,21,5,1,3,12,12,24,0,0,0.21,0.292,0.37,0.662
CarlosCorrea,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
135,MIA,26,95,8,24,5,0,2,9,6,35,1,0,0.253,0.294,0.368,0.662
BryanDe La Cruz,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
135,BAL,27,101,10,23,8,0,2,11,11,32,0,0,0.228,0.296,0.366,0.662
AnthonySantander,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
139,MIL,28,107,23,24,4,0,3,11,13,34,5,0,0.224,0.314,0.346,0.66
ChristianYelich,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
140,SD,30,119,14,28,5,0,4,13,8,30,2,0,0.235,0.281,0.378,0.659
MannyMachado,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
141,MIL,28,87,9,19,6,0,2,7,10,21,3,1,0.218,0.299,0.356,0.655
JoeyWiemer,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
142,SF,26,88,16,17,1,0,4,10,13,34,1,0,0.193,0.311,0.341,0.652
MichaelConforto,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
142,SEA,29,114,12,23,3,0,7,16,2,41,1,1,0.202,0.24,0.412,0.652
TeoscarHernandez,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
144,WSH,29,104,14,27,4,0,1,11,8,30,3,1,0.26,0.322,0.327,0.649
LaneThomas,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
145,LAA,31,111,19,23,2,0,4,13,15,28,1,0,0.207,0.315,0.333,0.648
TaylorWard,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
146,CWS,27,103,14,28,5,0,0,6,7,17,4,0,0.272,0.324,0.32,0.644
AndrewBenintendi,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
147,WSH,29,122,9,33,6,0,1,10,5,27,0,0,0.27,0.299,0.344,0.643
JoeyMeneses,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
148,OAK,30,110,11,28,6,0,0,12,4,21,11,1,0.255,0.333,0.309,0.642
